userId,restId,star,rating_env,rating_flavor,rating_service,comment
6,0,4,4,4,3,"非常喜欢这个德国超市，他家各类东东都品牌齐全，不像沃尔玛、家乐福之类只有便宜货。经常能找到一些讨人喜欢的东东，比如梅子醋、XO酱、超有料的炖汤佐料，当然还有偶最爱的各式冷冻海鲜和Icecream，大爱。PS。停车也超方便，偶去四方坪常蹭他家免费停车位，非常谢谢啦，呵呵。
"
8,0,4,3,3,3,"从这家超市刚在湖南开的时候就开始消费，眼看着这里周边由荒凉变得热闹。人生真是好短。
奇怪的是这里既然说是全世界有很多连锁店的超市，我在美国纽约州读书的同学居然说一直没有见过美国有这个超市，而且METRO是地铁的意思，晕。
商品齐全，有不少杭州特产，楼外楼的东坡肉之类都有卖。对了，还有哈根达斯，在冰柜里，一样很贵很贵。
买单的时候要刷会员卡的。
他们家不对家庭和个人开放，会员是要凭营业执照去登记的。因此确实这样会把很多人拒之门外。
有不少海鲜，价钱好贵。推荐水果、进口食品、现做面包等，质素都很不错，品种也齐全
时令鲜果也有，比方五月的樱桃，比外面水果店便宜和新鲜很多，要周末的早晨去买，很快就被抢空了
"
11,0,3,3,3,2,"麦德隆多是大包装的东西。适合三代同堂的家庭采购。
这里有卡才能进入，结帐时，同样要出示会员卡。
其实离我家还蛮远的。但有时也会开车到这里来采购。
不过，有次在这里买了酱牛肉，密封包装的。回到家里，打开包装，吓死了，牛肉都绿了。再仔细看了看保质日期，没错呀，是在保质期内的。只好又开车去麦德隆退货。损失了路费。就连麦德隆的售后服务人员，看了包装袋里的酱牛肉，都不禁皱起了眉头
"
13,0,5,4,5,4,"仓储式购物环境，看着货架上一堆堆的物品，人的购物欲望就被激发起来了！
进口食品很多，特别是西点类的，别的地方都买不到。
不过我至今没有会员卡，每次都是报别人的卡号或者蹭别人的卡，哈哈。
"
15,0,4,3,3,3,"这里大部分都是自家开车来大采购的，而且必须是会员制，但是商品价格很不错，质量也还不错，来这里购物的人也很多的。
"
16,0,4,4,4,3,"上班的时候有段时间正好在四方坪做业务，没事就逛逛。
最郁闷的就是买一台打印机给别人，结果自己发现价格比我的进货价要便宜。从此以后买打印机出去的时候坚持去这里看看。哈哈，商业间谍。
蓝罐曲奇估计这里是最早开始卖的，不错的东西。
多次在这里看见仇晓同志带这宝宝和保姆在这里购物，没有化妆的也还可以。哈哈
"
17,0,5,5,5,5,"有点远 在西安的时候逛得多
我在岳麓区这边 每次去都要坐一个多小时的车 搞得后来没什么欲望去了
也就作罢了 不过这的好吃的很多呢 面包也很好吃
"
18,0,3,4,5,4,"只能说地点很远
每次都要家里开车去
还有不方便的就是一定要有会员卡~
感觉不是很方便
然后东西还是很好的 有很多一般超市没有卖的东西！~
"
19,0,4,3,2,2,"宽敞的购物环境还是很符合人们的购物需求的，停车很方便，价格合理，只是产品种类要更加丰富，关于工具和特种用具都是其它超市没有的，很不错！
"
20,0,4,4,4,2,"消费没法填，看你买多少东西啦。除了那些高档水果外，其他货品的价格基本算是长沙超市里最低的，如果说性价比，那肯定是长沙超市中最高的。在这里来淘，时常能碰到物美价廉的东西。比如上次在这里买了双新百伦的慢跑鞋，300多，回去一查，正品500多，淘宝上都得400多，真的超赚。还有一点，麦德龙没假货，家乐福新一佳等等都时常能买到劣质的东西。以前人不多，现在去结账时居然也得排十分钟队。停车场超大。
"
21,0,4,3,4,4,"还没有去过这家店。
看到网友的评论都还不错。
很贴心的感觉。
好像是一个德国老板开的吧。
如果选择性比较多，价格比较实惠的话还是可以去那里光顾的。
"
